TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,TM_TOV_PCT,TEAM_ABBREVIATION,season
1610612745,Houston Rockets,72,44,28,0.611,112.5,109.8,2.7,104.04,0.494,0.53,1.47,15.5,0.249,0.713,0.48,0.537,0.578,0.14,HOU,2019-20
1610612754,Indiana Pacers,73,45,28,0.616,109.5,107.5,1.9,99.41,0.52,0.614,1.95,18.9,0.243,0.718,0.487,0.534,0.565,0.132,IND,2019-20
1610612746,LA Clippers,72,49,23,0.681,113.3,106.9,6.3,102.16,0.532,0.571,1.63,16.9,0.278,0.737,0.515,0.535,0.577,0.142,LAC,2019-20
1610612747,Los Angeles Lakers,71,52,19,0.732,111.7,106.1,5.6,101.2,0.539,0.6,1.67,18.0,0.283,0.737,0.512,0.542,0.573,0.149,LAL,2019-20
1610612763,Memphis Grizzlies,73,34,39,0.466,108.7,109.7,-1.0,103.31,0.507,0.633,1.77,18.7,0.271,0.733,0.506,0.528,0.561,0.147,MEM,2019-20
1610612748,Miami Heat,73,44,29,0.603,111.9,109.3,2.7,98.7,0.525,0.657,1.74,18.8,0.257,0.753,0.512,0.547,0.587,0.149,MIA,2019-20
1610612749,Milwaukee Bucks,73,56,17,0.767,111.9,102.5,9.4,105.51,0.562,0.598,1.71,18.0,0.241,0.775,0.524,0.552,0.583,0.142,MIL,2019-20
1610612750,Minnesota Timberwolves,64,19,45,0.297,107.6,111.6,-4.0,103.94,0.472,0.59,1.55,16.7,0.264,0.731,0.488,0.514,0.551,0.146,MIN,2019-20
1610612740,New Orleans Pelicans,72,30,42,0.417,110.5,111.8,-1.3,103.89,0.495,0.63,1.64,18.4,0.287,0.729,0.508,0.539,0.568,0.156,NOP,2019-20
1610612752,New York Knicks,66,21,45,0.318,105.9,112.4,-6.5,99.11,0.461,0.552,1.54,16.0,0.3,0.742,0.513,0.501,0.531,0.143,NYK,2019-20
1610612760,Oklahoma City Thunder,72,44,28,0.611,110.1,108.1,2.1,99.42,0.519,0.543,1.58,16.3,0.241,0.728,0.492,0.53,0.573,0.137,OKC,2019-20
1610612753,Orlando Magic,73,33,40,0.452,107.9,109.2,-1.3,98.99,0.496,0.608,1.86,17.5,0.267,0.749,0.5,0.506,0.544,0.129,ORL,2019-20
1610612755,Philadelphia 76ers,73,43,30,0.589,110.7,108.4,2.3,99.59,0.523,0.628,1.82,18.5,0.281,0.753,0.516,0.534,0.566,0.142,PHI,2019-20
1610612756,Phoenix Suns,73,34,39,0.466,111.3,110.8,0.5,101.74,0.512,0.661,1.84,19.2,0.261,0.734,0.498,0.532,0.576,0.145,PHX,2019-20
1610612757,Portland Trail Blazers,74,35,39,0.473,113.2,114.3,-1.1,101.17,0.486,0.488,1.61,15.2,0.266,0.712,0.492,0.533,0.57,0.126,POR,2019-20
1610612758,Sacramento Kings,72,31,41,0.431,109.5,111.4,-1.9,99.6,0.479,0.582,1.64,17.4,0.258,0.736,0.492,0.534,0.566,0.144,SAC,2019-20
1610612759,San Antonio Spurs,71,32,39,0.451,111.7,112.6,-0.9,101.14,0.502,0.585,1.96,17.9,0.233,0.751,0.495,0.531,0.572,0.123,SAS,2019-20
1610612761,Toronto Raptors,72,53,19,0.736,110.8,104.7,6.1,101.19,0.53,0.627,1.7,18.1,0.256,0.721,0.496,0.536,0.574,0.146,TOR,2019-20
1610612762,Utah Jazz,72,44,28,0.611,111.8,109.3,2.5,99.15,0.513,0.56,1.48,16.8,0.261,0.746,0.512,0.549,0.585,0.152,UTA,2019-20
